"credit_card","city","state","zipcode","credit_card_limit"
1280981422329509,"Dallas","PA","18612",6000
9737219864179988,"Houston","PA","15342",16000
4749889059323202,"Auburn","MA","01501",14000
9591503562024072,"Orlando","WV","26412",18000
2095640259001271,"New York","NY","10001",20000
1997929794676601,"Atlanta","NY","14808",21000
5449610971108305,"Pittsburgh","PA","15201",6000
7482288151831611,"Birmingham","NJ","08011",4000
8137811493121777,"Washington","NH","03280",15000
7804216189681274,"Los Angeles","CA","90001",20000
8060656990279276,"Phoenix","NY","13135",5000
4973517790485920,"Houston","PA","15342",4000
7869254138083290,"Washington","NH","03280",10000
8536914250563809,"Colorado Springs","CO","80509",14000
2440730617592819,"Washington","NH","03280",30000
3999331922264962,"Washington","NH","03280",20000
2216132730528773,"San Francisco","CA","94101",18000
9758203643408520,"Washington","NH","03280",12000
9548629685194612,"Columbus","NJ","08022",7000
2082491371163072,"Houston","PA","15342",10000
8221913653327075,"Topeka","IN","46571",25000
6164143160904912,"Washington","NH","03280",10000
5862371394578648,"Washington","NH","03280",12000
2377857415001409,"El Paso","IL","61738",12000
8618599746674974,"Houston","PA","15342",20000
5228380053135598,"Washington","NH","03280",24000
6891610450164077,"Washington","NH","03280",16000
6938265066782069,"Washington","NH","03280",5000
4572984294472212,"Washington","NH","03280",8000
9635686158177722,"Corpus Christi","TX","78401",8000
1167475218806361,"Richmond","MA","01254",14000
1742293159722384,"Sacramento","PA","17968",20000
1175962294549313,"Arlington","MA","02174",14000
4769264372531012,"Cleveland","NY","13042",30000
9595658147867468,"Arlington","MA","02174",8000
2925559987432581,"Tacoma","WA","98401",10000
5514508235368997,"San Diego","TX","78384",10000
8595793418524025,"Springfield","MA","01101",14000
8035759955465736,"Washington","NH","03280",4000
9310902645401474,"Washington","NH","03280",20000
3028140595406023,"El Paso","IL","61738",10000
5924922891293495,"Chicago","IL","60290",20000
7649237198931106,"Seattle","WA","98060",14000
9271294569681900,"Houston","PA","15342",8000
8867710239543529,"Los Angeles","CA","90001",6000
2505223645294729,"Washington","NH","03280",4000
9722420012449776,"Dallas","PA","18612",6000
5199442973583621,"Washington","NH","03280",8000
4744743520431714,"Washington","NH","03280",4000
9472892860209244,"Houston","PA","15342",7000
1402909379316770,"Pittsburgh","PA","15201",10000
4539200319153652,"Albany","VT","05820",10000
4505833195983226,"Houston","PA","15342",6000
5427757726611889,"Pittsburgh","PA","15201",10000
1916247437596108,"Washington","NH","03280",5000
2097167243683055,"Kansas City","MO","64101",2000
7045277863044303,"Washington","NH","03280",8000
6838971510538393,"Denver","NY","12421",5000
9389953638589188,"Oklahoma City","OK","73101",4000
8567390858674031,"Washington","NH","03280",2000
2035931394067428,"Washington","NH","03280",9000
6465194079012865,"Las Vegas","NM","87701",12000
